article,stance,pro_score,anti_score,china_sentiment,china_confidence,other_countries_sentiment,other_confidence,china_excerpt_len,other_excerpt_len
2013/61-pg19.3_016.txt,neutral,0.0000,0.0000,中性,0.4474,中性,0.4582,413,89
2013/61-pg19.3_017.txt,neutral,0.0000,0.0000,中性,0.4813,中性,0.5019,372,365
2013/62-pg20.1_001.txt,neutral,0.0000,0.0000,中性,0.4688,中性,0.4173,1715,763
2013/62-pg20.1_002.txt,neutral,0.0000,0.0000,中性,0.4362,中性,0.4173,1706,763
2013/62-pg20.1_003.txt,pro-China,0.4482,0.0000,中性,0.4691,負面,0.4482,1472,1013
2013/62-pg20.1_004.txt,anti-China,0.0000,0.3975,負面,0.3975,中性,0.4815,692,170
2013/62-pg20.1_005.txt,neutral,0.0000,0.0000,中性,0.4720,中性,0.5509,1006,155
2013/62-pg20.1_006.txt,neutral,0.0000,0.0000,中性,0.4249,中性,0.4623,360,155
2013/62-pg20.1_007.txt,neutral,0.0000,0.0000,中性,0.4375,中性,0.4261,1042,1100
2013/62-pg20.1_008.txt,neutral,0.0000,0.0000,中性,0.4507,中性,0.4470,102,170
2013/62-pg20.1_009.txt,neutral,0.0000,0.0000,中性,0.4728,中性,0.4516,819,172
2013/62-pg20.1_010.txt,neutral,0.0000,0.0000,中性,0.4274,中性,0.4655,182,94
2013/62-pg20.1_011.txt,neutral,0.0000,0.0000,中性,0.4074,中性,0.4232,267,66
2013/62-pg20.1_012.txt,neutral,0.0000,0.0000,中性,0.4793,中性,0.4793,181,181
2013/62-pg20.1_013.txt,neutral,0.0000,0.0000,中性,0.4933,中性,0.4900,82,213
2013/62-pg20.1_014.txt,neutral,0.0000,0.0000,中性,0.4953,中性,0.4359,59,638
2013/62-pg20.1_015.txt,pro-China,0.4903,0.0000,,,負面,0.4903,0,615
2013/62-pg20.1_016.txt,neutral,0.3998,0.3998,負面,0.3998,負面,0.3998,121,121
2013/63-pg20.2_001.txt,neutral,0.0000,0.0000,中性,0.4397,中性,0.4293,443,259
2013/63-pg20.2_002.txt,neutral,0.0000,0.0000,中性,0.4723,中性,0.5059,276,768
2013/63-pg20.2_003.txt,neutral,0.0000,0.0000,,,中性,0.4269,0,145
2013/63-pg20.2_004.txt,neutral,0.0000,0.0000,中性,0.4617,中性,0.4617,32,32
2013/63-pg20.2_005.txt,neutral,0.0000,0.0000,中性,0.3890,中性,0.4371,465,323
2013/63-pg20.2_006.txt,neutral,0.0000,0.0000,中性,0.4523,中性,0.4709,147,43
2013/63-pg20.2_007.txt,neutral,0.0000,0.0000,中性,0.4229,中性,0.4604,255,163
2013/63-pg20.2_008.txt,anti-China,0.0000,0.4068,負面,0.4068,中性,0.4601,772,387
2013/63-pg20.2_009.txt,neutral,0.0000,0.0000,中性,0.5083,中性,0.4357,87,168
2013/63-pg20.2_010.txt,neutral,0.0000,0.0000,中性,0.4735,中性,0.4179,390,358
2013/63-pg20.2_011.txt,neutral,0.0000,0.0000,中性,0.4562,中性,0.4562,41,41
2013/63-pg20.2_012.txt,neutral,0.0000,0.0000,中性,0.4860,中性,0.4704,154,43
2013/63-pg20.2_013.txt,neutral,0.0000,0.0000,中性,0.4844,中性,0.4826,133,145
2013/63-pg20.2_014.txt,neutral,0.0000,0.0000,中性,0.4453,中性,0.5331,60,142
2013/63-pg20.2_015.txt,pro-China,0.4526,0.0000,,,負面,0.4526,0,426
2013/63-pg20.2_016.txt,neutral,0.0000,0.0000,中性,0.4500,中性,0.4637,380,1236
2013/63-pg20.2_017.txt,neutral,0.0000,0.0000,中性,0.3761,中性,0.4085,189,82
2013/64-pg20.3_001.txt,anti-China,0.0000,0.4513,負面,0.4513,中性,0.4926,773,988
