deleted_path,kept_path,group_size
articles/2008/688-pg169.1_016.txt,articles/2008/217-pg169.1_015.txt,2
articles/2008/688-pg169.1_017.txt,articles/2008/217-pg169.1_016.txt,2
articles/2008/688-pg169.1_018.txt,articles/2008/217-pg169.1_017.txt,2
articles/2008/688-pg169.1_019.txt,articles/2008/217-pg169.1_018.txt,2
articles/2008/689-pg169.2_001.txt,articles/2008/218-pg169.2_001.txt,2
articles/2008/689-pg169.2_002.txt,articles/2008/218-pg169.2_002.txt,2
articles/2008/689-pg169.2_003.txt,articles/2008/218-pg169.2_003.txt,2
articles/2008/689-pg169.2_004.txt,articles/2008/218-pg169.2_004.txt,2
articles/2008/689-pg169.2_005.txt,articles/2008/218-pg169.2_005.txt,2
articles/2008/689-pg169.2_006.txt,articles/2008/218-pg169.2_006.txt,2
articles/2008/689-pg169.2_007.txt,articles/2008/218-pg169.2_007.txt,2
articles/2008/689-pg169.2_008.txt,articles/2008/218-pg169.2_008.txt,2
articles/2008/689-pg169.2_009.txt,articles/2008/218-pg169.2_009.txt,2
articles/2008/689-pg169.2_010.txt,articles/2008/218-pg169.2_010.txt,2
articles/2008/689-pg169.2_011.txt,articles/2008/218-pg169.2_011.txt,2
articles/2008/689-pg169.2_012.txt,articles/2008/218-pg169.2_012.txt,2
articles/2008/219-169.3_002.txt,articles/2008/218-pg169.2_013.txt,4
articles/2008/689-pg169.2_013.txt,articles/2008/218-pg169.2_013.txt,4
articles/2008/690-pg169.3_003.txt,articles/2008/218-pg169.2_013.txt,4
articles/2008/219-169.3_003.txt,articles/2008/218-pg169.2_014.txt,4
articles/2008/689-pg169.2_014.txt,articles/2008/218-pg169.2_014.txt,4
articles/2008/690-pg169.3_004.txt,articles/2008/218-pg169.2_014.txt,4
articles/2008/689-pg169.2_015.txt,articles/2008/218-pg169.2_015.txt,2
articles/2008/689-pg169.2_016.txt,articles/2008/218-pg169.2_016.txt,2
articles/2008/690-pg169.3_001.txt,articles/2008/218-pg169.2_017.txt,2
articles/2008/690-pg169.3_002.txt,articles/2008/219-169.3_001.txt,2
articles/2008/690-pg169.3_005.txt,articles/2008/219-169.3_004.txt,2
articles/2008/690-pg169.3_006.txt,articles/2008/219-169.3_005.txt,2
articles/2008/690-pg169.3_007.txt,articles/2008/219-169.3_006.txt,2
articles/2008/690-pg169.3_008.txt,articles/2008/219-169.3_007.txt,2
articles/2008/690-pg169.3_009.txt,articles/2008/219-169.3_008.txt,2
articles/2008/690-pg169.3_012.txt,articles/2008/219-169.3_011.txt,2
articles/2008/690-pg169.3_013.txt,articles/2008/219-169.3_012.txt,2
articles/2008/684-pg167.3_006.txt,articles/2008/220-pg168.1_001.txt,3
articles/2008/685-pg168.1_001.txt,articles/2008/220-pg168.1_001.txt,3
articles/2008/685-pg168.1_002.txt,articles/2008/220-pg168.1_002.txt,2
articles/2008/685-pg168.1_003.txt,articles/2008/220-pg168.1_003.txt,2
articles/2008/685-pg168.1_004.txt,articles/2008/220-pg168.1_004.txt,2
articles/2008/220-pg168.1_011.txt,articles/2008/220-pg168.1_005.txt,4
articles/2008/685-pg168.1_005.txt,articles/2008/220-pg168.1_005.txt,4
articles/2008/685-pg168.1_011.txt,articles/2008/220-pg168.1_005.txt,4
articles/2008/220-pg168.1_012.txt,articles/2008/220-pg168.1_006.txt,4
articles/2008/685-pg168.1_006.txt,articles/2008/220-pg168.1_006.txt,4
articles/2008/685-pg168.1_012.txt,articles/2008/220-pg168.1_006.txt,4
articles/2008/685-pg168.1_007.txt,articles/2008/220-pg168.1_007.txt,2
articles/2008/685-pg168.1_008.txt,articles/2008/220-pg168.1_008.txt,2
articles/2008/685-pg168.1_009.txt,articles/2008/220-pg168.1_009.txt,2
articles/2008/685-pg168.1_010.txt,articles/2008/220-pg168.1_010.txt,2
